Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILR;01;PF1002;2017-09-17;16:30;0317037;GRENADE VOLLEY BALL;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 3/0;25-13,25-9,25-18;75-40;GRAND SELVE;BASCOUERT STEPHANIE;;;
LILR;02;PF1006;2017-09-23;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0819413;VOLLEY CLUB BASTIDIEN 1; 0/3;21-25,25-27,18-25;64-77;RIVIÈRE;LECLERC DAVID;;;
LILR;03;PF1007;2017-09-30;20:30;0812335;VOLLEY CLUB ALBIGEOIS 1;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 3/0;25-19,25-18,25-6;75-43;COSEC;ALLAMASSEY PASCAL;;;
LILR;04;PF1012;2017-10-14;20:00;0656387;IBOS VOLLEY;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 0/3;13-25,27-29,19-25;59-79;PIERRE COMET;DUNACH JOLITA;;;
LILR;05;PF1014;2017-10-21;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0319191;VOLLEY BALL BALMA QUINT FONSEGRIVES 2; 1/3;21-25,19-25,27-25,20-25;87-100;RIVIÈRE;MEUNIER LAURENT;;;
LILR;06;PF1017;2017-11-18;20:30;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0317037;GRENADE VOLLEY BALL; 3/2;21-25,15-25,26-24,25-17,15-13;102-104;RIVIÈRE;LECLERC DAVID;;;
LILR;07;PF1021;2017-11-25;18:30;0819413;VOLLEY CLUB BASTIDIEN 1;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 3/2;25-19,28-26,20-25,20-25,15-3;108-98;MUNICIPALE;ANGAMA-LATCHIMY ELODIE;ALLAMASSEY PASCAL;;
LILR;08;PF1022;2017-12-02;21:00;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0812335;VOLLEY CLUB ALBIGEOIS 1; 0/3;22-25,20-25,18-25;60-75;RIVIÈRE;MALNAR KÉVIN;;;
LILR;09;PF1027;2017-12-16;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0656387;IBOS VOLLEY; 3/0;25-16,25-21,25-16;75-53;RIVIÈRE;LECLERC DAVID;;;
LILR;10;PF1029;2018-01-14;16:00;0319191;VOLLEY BALL BALMA QUINT FONSEGRIVES 2;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 3/0;25-13,25-16,25-15;75-44;COLLÈGE DE BALMA;DUFFROY CHRISTOPHE;;;
