Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILR;01;R2F004;2017-09-16;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0311264;TOULOUSE ATHLETIC CLUB 2; 3/2;20-25,25-12,25-18,15-25,15-13;100-93;RIVIÈRE;VENTURIN PIERRE;;;
LILR;02;R2F007;2017-09-23;20:00;0813428;SPORT OLYMP ST-AMANTAIS;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/0;25-14,25-18,25-18;75-50;SALLE DES SPORTS;BARTHES CHRISTOPHE;;;
LILR;03;R2F015;2017-09-30;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0319190;VOLLEY-BALL ST-ORENNAIS; 0/3;17-25,15-25,17-25;49-75;RIVIÈRE;MEUNIER LAURENT;;;
LILR;04;R2F016;2017-10-14;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0812335;VOLLEY-BALL ALBIGEOIS; 1/3;25-23,14-25,21-25,13-25;73-98;RIVIÈRE;ROMAIN DANY;;;
LILR;05;R2F025;2017-10-22;17:30;0315117;MURET VOLLEY BALL 2;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/0;25-18,25-21,25-22;75-61;J. AURIOL;MEGE CORENTIN;;;
LILR;06;R2F027;2017-11-18;18:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0818902;U.S. CADALENOISE V.B.; 0/3;21-25,18-25,17-25;56-75;RIVIÈRE;GREZES STÉPHANIE;;;
LILR;07;R2F034;2018-02-10;20:00;0817326;CASTRES MASSAGUEL VOLLEY BALL 2;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/0;25-18,25-20,25-21;75-59;MASSAGUEL;CABROL BASTIEN;;;
LILR;08;R2F038;2017-12-02;18:00;0127280;MJC DE RODEZ;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/1;25-12,25-16,23-25,25-18;98-71;FRUGERE  ( COLLEGE FABRE );RAYNAL FRANCIS;;;
LILR;09;R2F043;2017-12-16;19:00;0319191;VOLLEY BALL BALMA QUINT FONSEGRIVES 3;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/0;25-10,25-19,25-15;75-44;PATRICK PÉPI;RANC LYDIE;;;
LILR;10;R2F049;2018-01-13;20:00;0311264;TOULOUSE ATHLETIC CLUB 2;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/1;17-25,25-19,29-27,25-23;96-94;MAURICE DREUIL (GIRONIS);NGUYEN QUOC VIET;;;
LILR;11;R2F052;2018-01-20;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0813428;SPORT OLYMP ST-AMANTAIS; 1/3;25-22,21-25,10-25,21-25;77-97;RIVIÈRE;ROMAIN DANY;;;
LILR;12;R2F060;2018-01-27;20:00;0319190;VOLLEY-BALL ST-ORENNAIS;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/0;25-12,25-8,25-13;75-33;COLLÈGE PREVERT;MAIAS OSMAN;;;
LILR;13;R2F061;2018-02-03;18:00;0812335;VOLLEY-BALL ALBIGEOIS;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 2/3;25-14,25-13,16-25,23-25,14-16;103-93;ECOLE DES MINES D'ALBI;BENOIT OCEANE;;;
LILR;14;R2F070;2018-03-31;20:30;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0315117;MURET VOLLEY BALL 2; 0/3;24-26,13-25,17-25;54-76;RIVIÈRE;ROMAIN DANY;;;
LILR;15;R2F072;2018-03-17;20:00;0818902;U.S. CADALENOISE V.B.;0319125;SPORTING CLUB PLAISANCE TOUCH 2; 3/1;25-9,21-25,25-14,25-18;96-66;DES SPORTS;RAMIERE LILIAN;;;
LILR;16;R2F079;2018-03-24;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0817326;CASTRES MASSAGUEL VOLLEY BALL 2; 1/3;25-21,17-25,25-27,14-25;81-98;RIVIÈRE;GREZES STÉPHANIE;;;
LILR;17;R2F083;2018-04-07;18:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0127280;MJC DE RODEZ; 3/0;25-19,25-15,25-19;75-53;RIVIÈRE;ROMAIN DANY;;;
LILR;18;R2F088;2018-04-14;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 2;0319191;VOLLEY BALL BALMA QUINT FONSEGRIVES 3; 0/3;22-25,18-25,33-35;73-85;RIVIÈRE;ROMAIN DANY;;;
